faculty,programme,programme_slug,career_title
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Public Relations Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Communication Executive
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Academic Writer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Translator
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Heritage Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Creative Director
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY LITERATURE,bachelor-of-malay-literature,Media Producer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Language Researcher
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Cultural Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Museum Curator
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Archivist
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Historian
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Lecturer
ACADEMY OF MALAY STUDIES,BACHELOR OF MALAY STUDIES,bachelor-of-malay-studies,Translator
